shop_id,shop_name,nkreview_source,nkreview_nick,nkreview_reg_date,nkreview_content
11,공방 꽃피는삼월에,네이버맵,킷희,2022-10-27,"우리 동네 제로샵 구경가자' 라는 서울시에서 지원하는 프로젝트를 알게되어 참여를 했는데요. 환경에 관한 사장님의 열정과 새로운 정보를 나눌 수 있었던 유익하고 즐거운 시간이었습니다. 음식포장할 때 다회용기를 내는 용기내챌린지 를 실천중인데 용기내기에 딱인 실리콘 용기도 하나 구매했어요ㅎㅎ 제로웨이스트샵과 함께 공방도 운영중이어서 샴푸바, 입욕제 등을 만들 수 있는 클래스도 있다고 하는데 마침 할로윈 시즌이라 그런지 해골, 호박귀신 모양도 있는데 너무 귀엽지 않나요? 주변에 선물해주기도 무척 좋을 것 같아요~ 원래 친환경에 관심있으신 분들도, 이제 막 입문하려는 분들도 꼭 한 번 방문하셔서 구경해보시길 추천합니다."
11,공방 꽃피는삼월에,네이버맵,쪼꼬빠앙,2022-10-13,친절하세요!그리고 환경을 위해 조금이라도 실행하고자 구입했어요. 상품도 다양하고 좋아요!
11,공방 꽃피는삼월에,네이버맵,어진마음72,2022-05-11,환경을 생각하는 재생상품들~ 디자인도 이쁘고 환경에도 도움되고 좋아요. 코코넛화분 샀어요
11,공방 꽃피는삼월에,네이버맵,안나677,2022-04-28,환경을 생각하는 제품이 많아요
11,공방 꽃피는삼월에,네이버맵,yumkim,2022-05-19,"세탁 비누가 필요해서 이왕이면 친환경적인 것을 사용하고 싶어서 클래스를 들었어요. 환경 보호에 대해 앞장서서 행동하시고, 비누에 대한 지식도 많으신거 같아요. 원데이었지만 상세히 설명해주셔서 알찬 시간이었습니다.^^"
11,공방 꽃피는삼월에,네이버맵,Milkyway,2021-09-11,뿌듯한 쇼핑 입구부터 향이 좋아요~ 굳
11,공방 꽃피는삼월에,네이버맵,maya0303,2021-11-16,제로웨이스트 가게..작지만 있을 것은 다 있는 그런 환경을 생각하는 가게..시민이 많이 응원해야 합니다!!!
11,공방 꽃피는삼월에,네이버맵,kal****,2022-09-20,오늘은 아이들 칫솔 샀어요 :) 우리 동네 제로웨이스트 샵 너무 좋아요
11,공방 꽃피는삼월에,네이버맵,cuteshenay,2021-09-04,"물건은 많이 없지만 아기자기 예쁘고, 환경을 생각하는 상점이 많아지면 좋겠어요"
11,공방 꽃피는삼월에,네이버맵,cuteshenay,2022-07-13,제로웨이스트샵 이런곳이 많이많이 알려져야 환경에도 도움이 되고 좋을텐데...물건들이 다 좋아요. 많은 사람들이 이용했으면 좋겠어요
11,공방 꽃피는삼월에,네이버맵,aid,2022-07-28,너무나도 알찬 경험이었어요. 제로 웨이스트샵 방문으로 아이에게 환경의 소중함도 자연스럽게 알려줄 수 있었고 예쁘고 실용적인 비누들도 같이 만들 수 있었어요. 아기자기한 생활용품들도 많아서 한참 구경하고 왔네요.^^사장님들도 완전 좋으십니다!! ????
11,공방 꽃피는삼월에,네이버맵,Aheung,2022-10-12,리필샵 처음가봤어요! 생활속에서 지구를 아낄수있는 방법이 이렇게 다양한지 몰랐는데 좋은 제품 많이 알았고 저렴하게 필요한 만큼만 구매할 수 있어서 더 좋았어요! 친절한 설명과 소개까지 감사해요!
